name,sku,price,comparePrice,description,shortDescription,brand,status,quantity,condition,category,isFeatured,imageUrl
Smart LED Light Strip,ELEC-011,29.99,39.99,"16.4ft WiFi-enabled LED strip with 16 million colors, music sync, and voice assistant compatibility.",WiFi LED strip with music sync and voice control,Govee,ACTIVE,250,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Smart%20LED
Webcam 1080p HD,ELEC-012,54.99,,"Full HD webcam with auto-focus, built-in stereo microphone, and privacy shutter for streaming and video calls.",1080p HD webcam with auto-focus,Logitech,ACTIVE,90,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Webcam%201080p
Tablet Stand Adjustable,ELEC-013,22.99,,"Foldable aluminum tablet stand with adjustable angle, anti-scratch silicone pads, compatible with 4-13 inch devices.",Adjustable aluminum tablet and phone stand,Lamicall,ACTIVE,180,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Tablet%20Stand
Smart Plug WiFi Outlet,ELEC-014,15.99,19.99,"WiFi smart plug with energy monitoring, voice control via Alexa and Google Home, and scheduling timer.",WiFi smart plug with energy monitoring,TP-Link,ACTIVE,400,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Smart%20Plug
Digital Drawing Tablet,ELEC-015,199.99,249.99,"10x6 inch graphics tablet with 8192 pressure levels, tilt recognition, and 8 customizable shortcut keys.",Professional drawing tablet with stylus,Wacom,ACTIVE,45,new,electronics,true,https://placehold.co/600x600/e2e8f0/64748b?text=Digital%20Drawing
Portable Power Bank 20000mAh,ELEC-016,39.99,,"High-capacity power bank with dual USB-C ports, 22.5W fast charging, and LED battery indicator.",20000mAh fast charging power bank,Anker,ACTIVE,220,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Portable%20Power
Smart Thermostat,ELEC-017,179.99,,"Programmable smart thermostat with learning capability, remote app control, and energy usage reports.",Smart learning thermostat with app control,Google Nest,ACTIVE,60,new,electronics,true,https://placehold.co/600x600/e2e8f0/64748b?text=Smart%20Thermostat
USB Desk Microphone,ELEC-018,69.99,89.99,"Condenser USB microphone with cardioid pickup pattern, gain control, mute button, and adjustable stand.",USB condenser microphone for streaming,Blue Yeti,ACTIVE,75,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=USB%20Desk
Wireless Keyboard and Mouse Combo,ELEC-019,44.99,,"Slim wireless keyboard and mouse set with quiet keys, long battery life, and USB receiver.",Wireless keyboard and mouse combo set,Logitech,ACTIVE,160,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Wireless%20Keyboard
HDMI Cable 6ft 4K,ELEC-020,14.99,,"High-speed HDMI 2.1 cable supporting 4K@120Hz and 8K@60Hz, eARC, and braided nylon jacket.",6ft HDMI 2.1 cable with 4K support,AmazonBasics,ACTIVE,500,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=HDMI%20Cable
Streaming Media Player,ELEC-021,39.99,49.99,"4K HDR streaming device with voice remote, access to all major streaming apps, and Dolby Atmos support.",4K streaming stick with voice remote,Roku,ACTIVE,130,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Streaming%20Media
Robot Vacuum Cleaner,ELEC-022,299.99,399.99,"Smart robot vacuum with LiDAR navigation, 2500Pa suction, self-emptying base, and app scheduling.",LiDAR robot vacuum with self-emptying base,Roborock,ACTIVE,35,new,electronics,true,https://placehold.co/600x600/e2e8f0/64748b?text=Robot%20Vacuum
Fitness Smartwatch,ELEC-023,199.99,,"Advanced fitness smartwatch with GPS, heart rate monitor, sleep tracking, and 7-day battery life.",GPS fitness smartwatch with heart rate monitor,Garmin,ACTIVE,70,new,electronics,true,https://placehold.co/600x600/e2e8f0/64748b?text=Fitness%20Smartwatch
Wireless Doorbell Camera,ELEC-024,99.99,129.99,"Battery-powered video doorbell with 2K resolution, night vision, and two-way talk.",2K wireless video doorbell with night vision,Eufy,ACTIVE,55,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Wireless%20Doorbell
Electric Toothbrush,ELEC-025,49.99,,"Rechargeable sonic toothbrush with 5 cleaning modes, 2-minute timer, and 30-day battery life.",Sonic electric toothbrush with 5 modes,Oral-B,ACTIVE,140,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Electric%20Toothbrush
Laptop Backpack Anti-Theft,ELEC-026,45.99,,"Water-resistant laptop backpack with USB charging port, hidden zipper, and fits up to 15.6 inch laptops.",Anti-theft laptop backpack with USB port,Matein,ACTIVE,100,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Laptop%20Backpack
Air Purifier HEPA Filter,ELEC-027,129.99,159.99,"HEPA air purifier for rooms up to 500 sq ft, captures 99.97% of particles, with quiet sleep mode.",HEPA air purifier for large rooms,Levoit,ACTIVE,50,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Air%20Purifier
Desk LED Monitor Light,ELEC-028,39.99,,"Adjustable monitor light bar with auto-dimming, color temperature control, and no screen glare.",LED monitor light bar with auto-dimming,BenQ,ACTIVE,80,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Desk%20LED
Electric Standing Desk Converter,ELEC-029,249.99,299.99,"Height-adjustable standing desk converter with electric motor, fits dual monitors, and memory presets.",Electric sit-stand desk converter,FlexiSpot,ACTIVE,30,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Electric%20Standing
Portable Projector Mini,ELEC-030,179.99,,"Compact 1080p portable projector with built-in speakers, HDMI input, and 100-inch projection.",Mini 1080p portable projector,Anker Nebula,ACTIVE,25,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Portable%20Projector
Classic Crew Neck T-Shirt,CLO-001,24.99,,"Essential cotton crew neck t-shirt in a relaxed fit, pre-shrunk fabric, and available in multiple colors.",Classic cotton crew neck tee,Nike,ACTIVE,350,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Classic%20Crew
Slim Fit Chino Pants,CLO-002,54.99,69.99,"Tailored slim fit chinos with stretch comfort, wrinkle-resistant fabric, and zip fly closure.",Slim fit stretch chino pants,Dockers,ACTIVE,180,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Slim%20Fit
Women's Floral Maxi Dress,CLO-003,68.99,,"Elegant floral print maxi dress with V-neckline, adjustable waist tie, and flowing silhouette.",Floral print V-neck maxi dress,Free People,ACTIVE,90,new,clothing,true,https://placehold.co/600x600/e2e8f0/64748b?text=Women%27s%20Floral
Denim Jacket Classic,CLO-004,79.99,99.99,"Vintage-wash denim jacket with button closure, chest pockets, and adjustable waist tabs.",Classic wash denim jacket,Levi's,ACTIVE,120,new,clothing,true,https://placehold.co/600x600/e2e8f0/64748b?text=Denim%20Jacket
Performance Running Shorts,CLO-005,34.99,,"Lightweight running shorts with moisture-wicking fabric, built-in briefs, and zippered back pocket.",Moisture-wicking running shorts with liner,Under Armour,ACTIVE,200,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Performance%20Running
Wool Blend Peacoat,CLO-006,149.99,189.99,"Double-breasted wool blend peacoat with satin lining, notch lapels, and interior pockets.",Double-breasted wool blend peacoat,Calvin Klein,ACTIVE,45,new,clothing,true,https://placehold.co/600x600/e2e8f0/64748b?text=Wool%20Blend
Cotton Hoodie Pullover,CLO-007,44.99,,"Soft fleece-lined pullover hoodie with kangaroo pocket, drawstring hood, and ribbed cuffs.",Fleece-lined cotton pullover hoodie,Champion,ACTIVE,250,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Cotton%20Hoodie
Athletic Compression Leggings,CLO-008,39.99,49.99,"High-waist compression leggings with four-way stretch, hidden pocket, and squat-proof fabric.",High-waist compression athletic leggings,Lululemon,ACTIVE,170,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Athletic%20Compression
Flannel Plaid Shirt,CLO-009,42.99,,"Brushed cotton flannel shirt with button-down collar, chest pocket, and relaxed fit.",Brushed cotton plaid flannel shirt,L.L.Bean,ACTIVE,130,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Flannel%20Plaid
Leather Belt Classic,CLO-010,29.99,,"Genuine leather belt with silver-tone buckle, single prong closure, and stitched edges.",Genuine leather belt with metal buckle,Tommy Hilfiger,ACTIVE,220,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Leather%20Belt
Waterproof Rain Jacket,CLO-011,89.99,109.99,"Lightweight waterproof jacket with sealed seams, adjustable hood, and packable design.",Waterproof packable rain jacket,The North Face,ACTIVE,80,new,clothing,true,https://placehold.co/600x600/e2e8f0/64748b?text=Waterproof%20Rain
Cashmere V-Neck Sweater,CLO-012,119.99,,"Pure cashmere V-neck sweater with ribbed trim, classic fit, and soft hand feel.",Pure cashmere V-neck pullover sweater,J.Crew,ACTIVE,55,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Cashmere%20V-Neck
Women's Ankle Boots,CLO-013,99.99,129.99,"Suede ankle boots with block heel, side zip closure, and cushioned insole.",Suede block heel ankle boots,Steve Madden,ACTIVE,65,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Women%27s%20Ankle
Striped Polo Shirt,CLO-014,44.99,,"Classic striped polo shirt with pique knit, two-button placket, and embroidered logo.",Classic striped pique polo shirt,Ralph Lauren,ACTIVE,190,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Striped%20Polo
High-Waist Straight Jeans,CLO-015,64.99,79.99,"High-rise straight leg jeans with non-stretch denim, five-pocket styling, and vintage wash.",High-waist straight leg vintage wash jeans,Madewell,ACTIVE,110,new,clothing,true,https://placehold.co/600x600/e2e8f0/64748b?text=High-Waist%20Straight
Silk Scarf Printed,CLO-016,34.99,,"Luxurious silk scarf with vibrant print, hand-rolled edges, and versatile styling options.",Printed silk scarf with hand-rolled edges,H&M,ACTIVE,140,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Silk%20Scarf
Puffer Vest Quilted,CLO-017,69.99,89.99,"Lightweight quilted puffer vest with stand collar, zip closure, and water-resistant shell.",Quilted water-resistant puffer vest,Patagonia,ACTIVE,75,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Puffer%20Vest
Linen Button-Down Shirt,CLO-018,54.99,,"Relaxed fit linen shirt with button-down collar, chest pocket, and natural texture.",Relaxed fit linen button-down shirt,Banana Republic,ACTIVE,100,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Linen%20Button-Down
Athletic Crew Socks 6-Pack,CLO-019,18.99,,"Cushioned athletic socks with arch support, moisture-wicking yarn, and reinforced heel and toe.",6-pack cushioned athletic crew socks,Nike,ACTIVE,400,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Athletic%20Crew
Canvas Sneakers Low Top,CLO-020,59.99,,"Classic canvas low-top sneakers with vulcanized rubber sole, padded collar, and cotton laces.",Classic canvas low-top sneakers,Converse,ACTIVE,160,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Canvas%20Sneakers
Tailored Blazer Slim Fit,CLO-021,129.99,159.99,"Modern slim fit blazer with notch lapels, two-button closure, and interior pockets.",Slim fit tailored blazer,Hugo Boss,ACTIVE,40,new,clothing,true,https://placehold.co/600x600/e2e8f0/64748b?text=Tailored%20Blazer
Graphic Print Sweatshirt,CLO-022,39.99,,"Oversized graphic sweatshirt with crew neck, dropped shoulders, and brushed fleece interior.",Oversized graphic print crew sweatshirt,Urban Outfitters,ACTIVE,130,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Graphic%20Print
Cargo Jogger Pants,CLO-023,49.99,,"Tapered cargo joggers with elastic waistband, side cargo pockets, and ribbed ankle cuffs.",Tapered cargo jogger pants,Zara,ACTIVE,150,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Cargo%20Jogger
Wrap Midi Skirt,CLO-024,44.99,54.99,"Elegant wrap midi skirt with tie waist, A-line silhouette, and flowing crepe fabric.",Wrap front A-line midi skirt,ASOS,ACTIVE,85,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Wrap%20Midi
Merino Wool Beanie,CLO-025,24.99,,"Soft merino wool knit beanie with ribbed cuff, breathable warmth, and one-size-fits-most.",Merino wool ribbed knit beanie,Smartwool,ACTIVE,200,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Merino%20Wool
Down Winter Parka,CLO-026,199.99,249.99,"Insulated down parka with faux fur-trimmed hood, waterproof shell, and fleece-lined pockets.",Waterproof insulated down winter parka,Columbia,ACTIVE,35,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Down%20Winter
Oxford Dress Shoes,CLO-027,109.99,,"Classic leather oxford shoes with Goodyear welt construction, cushioned insole, and polished finish.",Classic leather oxford dress shoes,Cole Haan,ACTIVE,50,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Oxford%20Dress
Yoga Tank Top,CLO-028,28.99,,"Lightweight yoga tank with built-in shelf bra, racerback design, and four-way stretch.",Racerback yoga tank with shelf bra,Athleta,ACTIVE,180,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Yoga%20Tank
Swim Trunks Quick Dry,CLO-029,32.99,39.99,"Quick-dry swim trunks with mesh liner, side pockets, and UPF 50+ sun protection.",Quick-dry UPF 50+ swim trunks,Quiksilver,ACTIVE,120,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Swim%20Trunks
Oversized Sunglasses,CLO-030,27.99,,"Oversized square frame sunglasses with UV400 protection, gradient lenses, and lightweight design.",Oversized square UV400 sunglasses,Ray-Ban,ACTIVE,175,new,clothing,false,https://placehold.co/600x600/e2e8f0/64748b?text=Oversized%20Sunglasses
Ceramic Table Lamp,HG-001,59.99,79.99,"Modern ceramic table lamp with linen drum shade, three-way switch, and brushed brass base.",Ceramic table lamp with linen shade,West Elm,ACTIVE,70,new,home-garden,true,https://placehold.co/600x600/e2e8f0/64748b?text=Ceramic%20Table
Stainless Steel Cookware Set,HG-002,189.99,,"10-piece stainless steel cookware set with tri-ply construction, tempered glass lids, and oven-safe design.",10-piece stainless steel cookware set,Cuisinart,ACTIVE,40,new,home-garden,true,https://placehold.co/600x600/e2e8f0/64748b?text=Stainless%20Steel
Memory Foam Pillow,HG-003,39.99,49.99,"Contoured memory foam pillow with cooling gel layer, hypoallergenic cover, and neck support design.",Cooling gel memory foam contour pillow,Tempur-Pedic,ACTIVE,200,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Memory%20Foam
Indoor Plant Pot Set,HG-004,32.99,,"Set of 3 ceramic plant pots with drainage holes, bamboo saucers, and matte finish.",Set of 3 ceramic plant pots with saucers,Mkono,ACTIVE,150,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Indoor%20Plant
Cotton Bath Towel Set,HG-005,44.99,59.99,"6-piece Turkish cotton bath towel set with 600 GSM weight, double-stitched hems, and fade-resistant dyes.",6-piece Turkish cotton bath towel set,Pottery Barn,ACTIVE,110,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Cotton%20Bath
Wall Mounted Shelf Floating,HG-006,29.99,,"Rustic solid wood floating shelf with hidden bracket mounting, 24-inch length, and natural finish.",24-inch rustic floating wood shelf,Threshold,ACTIVE,130,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Wall%20Mounted
Non-Stick Frying Pan,HG-007,34.99,,"12-inch ceramic non-stick frying pan with soft-touch handle, even heat distribution, and PFOA-free coating.",12-inch ceramic non-stick frying pan,GreenPan,ACTIVE,160,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Non-Stick%20Frying
Scented Soy Candle,HG-008,18.99,24.99,"Hand-poured soy wax candle with lavender and eucalyptus fragrance, cotton wick, and 50-hour burn time.",Lavender soy candle with 50hr burn time,Yankee Candle,ACTIVE,280,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Scented%20Soy
Cordless Stick Vacuum,HG-009,199.99,249.99,"Lightweight cordless stick vacuum with HEPA filtration, 40-minute runtime, and convertible handheld mode.",Cordless stick vacuum with HEPA filter,Dyson,ACTIVE,55,new,home-garden,true,https://placehold.co/600x600/e2e8f0/64748b?text=Cordless%20Stick
Woven Area Rug 5x7,HG-010,89.99,,"Hand-woven jute and cotton area rug with geometric pattern, non-slip backing, and 5x7 foot size.",5x7 hand-woven jute geometric area rug,Safavieh,ACTIVE,45,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Woven%20Area
Electric Kettle Glass,HG-011,29.99,,"1.7L glass electric kettle with LED illumination, auto shut-off, boil-dry protection, and rapid boil.",1.7L glass LED electric kettle,Hamilton Beach,ACTIVE,140,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Electric%20Kettle
Throw Blanket Knit,HG-012,34.99,44.99,"Chunky knit throw blanket in 50x60 inches, ultra-soft acrylic yarn, and machine washable.",Chunky knit throw blanket 50x60 inches,Barefoot Dreams,ACTIVE,120,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Throw%20Blanket
Bamboo Cutting Board Set,HG-013,24.99,,"Set of 3 organic bamboo cutting boards with juice grooves, easy-grip handles, and antimicrobial surface.",Set of 3 bamboo cutting boards,Totally Bamboo,ACTIVE,190,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Bamboo%20Cutting
Wall Art Canvas Print,HG-014,49.99,,"Abstract canvas wall art print on gallery-wrapped frame, ready to hang, 24x36 inch size.",24x36 abstract gallery canvas wall art,Americanflat,ACTIVE,60,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Wall%20Art
Programmable Coffee Maker,HG-015,69.99,89.99,"12-cup programmable drip coffee maker with thermal carafe, auto brew timer, and bold flavor setting.",12-cup thermal carafe coffee maker,Ninja,ACTIVE,80,new,home-garden,true,https://placehold.co/600x600/e2e8f0/64748b?text=Programmable%20Coffee
Storage Ottoman Foldable,HG-016,44.99,,"Foldable storage ottoman with linen upholstery, padded top, and 80L interior capacity.",Foldable linen storage ottoman 80L,Seville Classics,ACTIVE,95,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Storage%20Ottoman
Stainless Steel Water Bottle,HG-017,19.99,,"Double-wall vacuum insulated water bottle, 32oz capacity, keeps drinks cold 24hr or hot 12hr.",32oz insulated stainless steel water bottle,Hydro Flask,ACTIVE,300,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Stainless%20Steel
Garden Tool Set 5-Piece,HG-018,36.99,44.99,"Heavy-duty garden tool set with ergonomic handles, rust-resistant stainless steel heads, and carrying tote.",5-piece stainless steel garden tool set,Fiskars,ACTIVE,85,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Garden%20Tool
Duvet Cover Set Queen,HG-019,64.99,,"100% cotton sateen duvet cover set with hidden zipper closure, corner ties, and 2 matching shams.",Queen cotton sateen duvet cover set,Brooklinen,ACTIVE,70,new,home-garden,true,https://placehold.co/600x600/e2e8f0/64748b?text=Duvet%20Cover
Kitchen Knife Set,HG-020,79.99,99.99,"7-piece forged stainless steel knife set with acacia wood block, full tang construction, and sharp edges.",7-piece stainless knife set with block,Henckels,ACTIVE,50,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Kitchen%20Knife
Shower Curtain Fabric,HG-021,22.99,,"Waffle weave fabric shower curtain with rust-proof grommets, weighted hem, and machine washable.",Waffle weave fabric shower curtain,Threshold,ACTIVE,160,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Shower%20Curtain
Desk Organizer Bamboo,HG-022,27.99,,"Multi-compartment bamboo desk organizer with pen holder, phone stand, and file sorter.",Bamboo desk organizer with pen holder,Satechi,ACTIVE,110,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Desk%20Organizer
Cast Iron Skillet 12-inch,HG-023,39.99,,"Pre-seasoned 12-inch cast iron skillet with helper handle, oven-safe to 500F, and lifetime warranty.",12-inch pre-seasoned cast iron skillet,Lodge,ACTIVE,90,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Cast%20Iron
Blackout Curtains Pair,HG-024,39.99,54.99,"Room darkening thermal insulated curtain pair, 52x84 inches, with noise reduction and grommet top.",52x84 thermal blackout curtain pair,NICETOWN,ACTIVE,140,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Blackout%20Curtains
Stand Mixer 5-Quart,HG-025,199.99,,"5-quart tilt-head stand mixer with 10 speeds, stainless steel bowl, and 3 included attachments.",5-quart tilt-head stand mixer,KitchenAid,ACTIVE,30,new,home-garden,true,https://placehold.co/600x600/e2e8f0/64748b?text=Stand%20Mixer
Outdoor Solar Path Lights,HG-026,29.99,37.99,"Set of 8 solar-powered LED path lights with auto on/off, stainless steel construction, and warm white glow.",8-pack solar LED outdoor path lights,GIGALUMI,ACTIVE,175,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Outdoor%20Solar
Microfiber Sheet Set King,HG-027,34.99,,"Ultra-soft brushed microfiber sheet set with deep pockets, wrinkle-resistant, and fade-proof colors.",King size microfiber sheet set,Mellanni,ACTIVE,200,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Microfiber%20Sheet
Herb Garden Starter Kit,HG-028,24.99,,"Indoor herb garden kit with 5 seed varieties, biodegradable pots, soil discs, and growing guide.",Indoor herb garden seed starter kit,Back to the Roots,ACTIVE,120,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Herb%20Garden
Bathroom Vanity Mirror LED,HG-029,79.99,99.99,"24-inch round LED vanity mirror with dimmable light, anti-fog feature, and touch sensor switch.",24-inch LED round vanity mirror,Keonjinn,ACTIVE,40,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Bathroom%20Vanity
Spice Rack Organizer,HG-030,19.99,,"Revolving countertop spice rack with 16 glass jars, stainless steel lids, and labeled caps.",16-jar revolving spice rack organizer,Kamenstein,ACTIVE,150,new,home-garden,false,https://placehold.co/600x600/e2e8f0/64748b?text=Spice%20Rack
Yoga Mat Premium,SPT-001,39.99,49.99,"Extra thick 6mm yoga mat with non-slip texture, alignment lines, and carrying strap included.",6mm non-slip yoga mat with alignment lines,Manduka,ACTIVE,180,new,sports,true,https://placehold.co/600x600/e2e8f0/64748b?text=Yoga%20Mat
Adjustable Dumbbell Set,SPT-002,249.99,299.99,"Adjustable dumbbell pair ranging from 5-52.5 lbs each, quick-change weight dial, and compact design.",Adjustable 5-52.5 lb dumbbell pair,Bowflex,ACTIVE,25,new,sports,true,https://placehold.co/600x600/e2e8f0/64748b?text=Adjustable%20Dumbbell
Resistance Bands Set,SPT-003,19.99,,"Set of 5 latex resistance bands with varying tension levels, door anchor, handles, and carry bag.",5-piece resistance band set with accessories,Fit Simplify,ACTIVE,350,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Resistance%20Bands
Running Shoes Lightweight,SPT-004,119.99,,"Lightweight neutral running shoes with responsive foam cushioning, breathable mesh upper, and rubber outsole.",Lightweight cushioned neutral running shoes,Brooks,ACTIVE,90,new,sports,true,https://placehold.co/600x600/e2e8f0/64748b?text=Running%20Shoes
Foam Roller High Density,SPT-005,24.99,29.99,"High-density EVA foam roller, 18-inch length, for deep tissue massage, muscle recovery, and stretching.",18-inch high-density foam roller,TriggerPoint,ACTIVE,200,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Foam%20Roller
Camping Tent 4-Person,SPT-006,149.99,189.99,"4-person waterproof dome tent with rainfly, mesh windows, and easy setup in under 10 minutes.",4-person waterproof dome camping tent,Coleman,ACTIVE,35,new,sports,true,https://placehold.co/600x600/e2e8f0/64748b?text=Camping%20Tent
Jump Rope Speed,SPT-007,12.99,,"Adjustable speed jump rope with ball-bearing handles, lightweight cable, and foam grip.",Adjustable speed jump rope with bearings,Crossrope,ACTIVE,280,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Jump%20Rope
Insulated Water Bottle Sports,SPT-008,27.99,,"40oz double-wall insulated sports water bottle with straw lid, silicone boot, and BPA-free materials.",40oz insulated sports water bottle,CamelBak,ACTIVE,220,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Insulated%20Water
Basketball Indoor/Outdoor,SPT-009,29.99,,"Official size 7 composite leather basketball with deep channel design and superior grip.",Official size composite leather basketball,Spalding,ACTIVE,100,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Basketball%20Indoor
Cycling Helmet Adult,SPT-010,59.99,74.99,"Lightweight cycling helmet with MIPS technology, 18 ventilation channels, and adjustable fit dial.",MIPS cycling helmet with 18 vents,Giro,ACTIVE,75,new,sports,false,https://placehold.co/600x600/e2e8f0/64748b?text=Cycling%20Helmet
